user_review_no,rating,time_ago,comment_likes,user_text,Service,Vegetarian offerings,Wheelchair accessibility,Kid-friendliness,Price per person,Atmosphere,Vegetarian options,,Meal type,Parking space,Dietary restrictions,Parking options,Parking,Recommendation for vegetarians,Recommended dishes,Food
 192 reviews ,5 stars,a year ago,2,"Such a great surprise! I was there for satu Paratha, and I had to come back another day to try methi Paratha and matar paneer. Amazing!!! Super worth it for the price, quality and quantity. It takes a lot of time to get your order because it was busy both times I was there, but still great. Highly recommend it if you like good food, and authentic local flavour 👏🏼👏🏼👏🏼👏🏼🙏🏼",5,,,,₹1–200,5,,,Dinner,,,,,,,5
 82 reviews ,4 stars,3 years ago,2,"Taste was so good ,yummy, delicious but services system is too lazy
If you go there , one thing first do your order because they take atleast 45 min. , waste of time.. otherwise proper hygienic place and good food and also in affordable price 👌👌 …",,,,,,,,,,,,,,,,
 98 reviews ,2 stars,2 years ago,,"Recommended only in winters. Also if the crowd is normal
AC was not working
Food is okay
During summer specially on weekends you can't get a place to sit. Nobody will come to help you. You have to manage by own.
My experience was below average.
Will recommend Roma's cafe or paprika food court in Lanka varanasi. They are spacious and service is better than this.",,,,,,,,,,,,,,,,
 169 reviews ,4 stars,a year ago,6,"Such a good place to have meal, shake etc..
It's near lanka chauraha and they've literally maintained quality of food. North indian and chinese was quite nice. Even coffee was really appreciable! Price is reasonable. Staffs too are polite. Definitely go to place.",,,,,,,,,,,,,,,,
 115 reviews ,3 stars,a year ago,1,I was giving 5star suddenly I have seen that I got a broken plate and a dirty glass of water then I changed my mind to 3star ... the service was too fast and the taste was superb. And about cost or price was reasonable and I ordered a veg combo ...all things were good 👍 …,,,,,,,,,,,,,,,,
 26 reviews ,3 stars,a month ago,,Taste of dishes served is average but quantity according to price is satisfactory.,3,,,,,3,,,,,,,,,,3
 111 reviews ,4 stars,a year ago,10,"It's a completely veg restaurant with great taste. Perfect blend of different foods from sweet to sour, offered thalis too. The ambience is perfectly balanced for both friends and families.",,,,,,,,,,,,,,,,
 229 reviews ,5 stars,3 months ago,,One of the best budget friendly restaurant for Breakfast and snacks. Will not recommend for Dinner on this place because once you order your meals and then if you want extra roti or anything so you need to go to the counter again for billing then you will get your order. I will suggest restaurant owner to assign few or your staff to take care of your existing customer those ordered full meals so that customer need not to go to the counter to order it again.,3,Menu is all vegetarian,,,"₹800–1,000",5,,,Dinner,,,,,Somewhat recommend,"Paneer Butter Masala, White Sauce Pasta, Hakka Noodles, Chilli Garlic Noodles",5
 266 reviews ,5 stars,11 months ago,,"One of the earliest and best food court of Varanasi, located at Lanka, and very economical for the students and others.

They have wide range of offerings, i have tried most of the items.

Combos are best, like maharaja platter, aloo kulchey, noodles manchurian and more

One thing I didn't like was Afghani momos, don't try it, they served the same in white sauce pasta.

The portion of food they provide is also good 👍",4,,,,₹1–200,4,,,Dinner,,,,,,Mushroom Rolls,5
 32 reviews ,4 stars,2 months ago,,"Capsicum Food Court, located near BHU in Varanasi, is a well-regarded dining spot known for its diverse menu and vibrant atmosphere. It offers a variety of cuisines, including North Indian, South Indian, Chinese, and fast food options. Patrons appreciate the quality and quantity of the food, with dishes like their Methi Paratha and Matar Paneer receiving particular praise for their authentic flavors. The ambience, although sometimes crowded, is generally considered cozy and inviting. Service can be a bit slow during peak hours, but the staff is noted for their politeness and helpfulness. Overall, it is a popular choice among students and families for a satisfying meal at reasonable prices.",3,,,,"₹800–1,000",4,,,Lunch,,,,,,"Paneer Butter Masala, Mushroom Rolls, Veg Roll, Cheese Burst Pizza",4
 120 reviews ,3 stars,a year ago,,"Need better service and better food quality. Need better training to the employees. The manager of the food court is utterly unprofessional. The concerned person making soft drinks uses bare hand to collect ice from the fridge and mix it with the syrup. It's very unhygienic. Even after complaint no action was taken. Atleast he can use gloves. Even after covid 19 pandemic, store managers have not learnt anything.",,,,,,,,,,,,,,,,
 273 reviews ,3 stars,a year ago,,Trying various places for foods always keeps me excited. This place is one of the busiest business near Lanka gate BHU. Always come if you have extra time with money as time and money both are expensive nowadays. Keep in kind that order and take away is only option. You have to keep tracking of your token number on the display at the service table. Service is but slow but food was good. I ordered masala dosa and a coke which costs me around 150 bucks. You'll have to wait and watch. After taking your food you're free to enjoy. Go visit this place and give your openion.,,,,,,,,,,,,,,,,
 13 reviews,1 star,4 months ago,,"I tried to go here by seeing  brunch of people around and  the food was horrible. The taste is so bad because all are having contained with sugar, undercooked or no taste. But the price and amount of food you get is good. The cleaning/serving staff are great but no one has to get customer feedback on food quality",2,,,,"₹1,000–1,200",2,,,Dinner,,,,,Would not recommend,,1
 40 reviews ,3 stars,2 years ago,7,"Nice vegetarian dishes, like your standard resturant, good place for hangout when your dorm make bad food.

They have some affection with Capsicum, they put that in most of the dishes.

I don't personally like veg. But try their Crispy Baby corn.

And don't try paneer Manchurian",,,,,,,,,,,,,,,,
 9 reviews ,4 stars,a year ago,4,"Food was tasty specially crispy baby corns. Genuine price, lively atmosphere, full with families, variety of cousin. If you don't know where to go capsicum is the answer.😊😊😊😊 …",,,,,,,,,,,,,,,,
 19 reviews ,4 stars,2 months ago,,"It's been so many years , but this place is always overly crowded by University students , no doubt the food is good always but they take upto half hours to serve specially the delivery is too late from this place whenever you drive through. Baby corns and mix veg curry is must try.!!",2,,,,₹400–600,3,,,Dinner,Somewhat difficult to find parking,,,,,"Paneer Butter Masala, Pav Bhaji, Chilli Garlic Noodles, Chhole Bhature, Cheese Burst Pizza",4
 23 reviews ,4 stars,2 months ago,,"If you plan to visit on weekends, be prepared to wait for at least 2 hours even after placing your food order. Prior to that, you may also need to wait to secure a vacant table. Despite being told to wait for 50 minutes after ordering, we received our food 1.5 hours later after multiple trips to the counter. We eventually left at midnight.",3,,,,₹200–400,2,,,Dinner,Difficult to find parking,,Parking is unavailable,,,,4
 44 reviews ,4 stars,a year ago,,"When you looking for veg meals at BHU Lanka in Varanasi this is the best place to visit in. Here you can order North Indian, Chinese, South India food at very reasonable price.
Crispy baby corn is undoubtedly very delicious here, Must try at once.",4,,,,,4,,,,,,,,,,5
 26 reviews ,3 stars,2 months ago,,Food quality is not so good in comparison with the price. It takes time for them to prepare and serve the food. Though I have been there only for once a few years ago and the very first visit wasn't satisfactory.,3,,,,,4,,,,,,,,,,3
 99 reviews ,3 stars,2 years ago,1,"Taste wasn't upto the mark .
Ambience was nice.
They have self service system means no waiter or staff will bring your order to your table rather you have to recieve your order from the counter.",,,,,,,,,,,,,,,,
 46 reviews ,5 stars,a year ago,5,"Ambience,workers everything is very good😇😇. Staff are very cordial .each and every food is in itself is praiseworthy with affordable price👍👍👍. This is perfect budget friendly place where you can hangout with your friends🙌🙌🙌🙌🙌. …",,,,,,,,,,,,,,,,
 194 photos,4 stars,3 months ago,,Overcrowded always so your order will be much late. Price wise they are cool. Stuffs are affordable. Food quality is great. Recommend from my side but be patient.,,,,,,,,,,,,,,,,
 12 reviews ,1 star,a month ago,,Food & atmosphere almost are good but the service specially the way of talking of   staff is not well. I had one the worst experience at Capcicum with the staff. Without knowing or asking he talked rudely with me & my partner...,1,,,,,1,,,,,,,,,,4
 9 photos,5 stars,6 months ago,1,The food was good. veggies were fresh and the taste was nice,5,,,,₹200–400,5,,,Other,,,,,,Hakka Noodles,5
 44 reviews ,4 stars,2 years ago,7,"This place is good , i mean girls can go here at night without any prblm as place is full with families and friends. I think it bit expensive though, we've ordered a masala and i think it's okish.  The other thing we've ordered is tangy grill cheese sandwich and it cost me 109 and the filling is of jalapeno and cheese only.  Bt the quality of cheese is good and mohito is great.  The ambience is not very good bt it's ok. Hope you'll like it here.",,,,,,,,,,,,,,,,
,1 star,5 months ago,,"Once, I waited over an hour for my pizza in a nearly empty restaurant, only for it to arrive cold and incorrect. The server was indifferent when I complained, and the manager refused to acknowledge the issue. I left hungry and frustrated, vowing never to return. Manager behaviour was rude, very disrespectful service ever
Suggest not to go 🤬",1,,,,,1,,,,,,,,,,1
 12 reviews ,4 stars,2 years ago,2,Tasty food and staffs are also good. You can also pack your left over meal. Best for family .Price is affordable. But it will take time to get your food and you have yo serve yourself.,,,,,,,,,,,,,,,,
,1 star,2 months ago,,"The place is crowded, finding a seat alone takes good 10-15 minutes and the waiting time for food is 20+ minutes. What makes it worse is the food which is disgusting. I ordered masala dosa and there was uncooked garam masala sprinkled over Dosa, while  was also spicy. The chutney was sour and  bad. They should understand that making spicy and modifying food does not equal to good food. I have had dosa all over the country and this was the worst.",1,,,,₹200–400,1,,,Dinner,,,,,,,1
 62 reviews ,3 stars,2 years ago,1,"Food taste was below average ,the resturant has to much rush , if you're looking for pocket friendly resturant you can try here.",,,,,,,,,,,,,,,,
,1 star,3 weeks ago,,"Worst service ever very bad experience
After 45 mins of waiting they said that order nhi ho pyega and we've asked them several times order hoo pyegaa?? They always said yes and yes after 45 mins they said ki nhi ho payega sorry to say but really bad experience here and we've wasted our time too!",,,,,,,,,,,,,,,,
 10 reviews ,4 stars,2 months ago,,"Experience was quite good.food is affordable and tasty, veg maharaja thali  is very good . And crunchy momos, pasta,chees bust pizza and baby corn are good in snacks.",3,Large vegetarian selection,,,₹200–400,4,,,Other,Somewhat difficult to find parking,,Parking is unavailable,Parking for bike are somewhat available but for car it is not,Highly recommend,"White Sauce Pasta, Chilli Garlic Noodles, Veg Roll, Cheese Burst Pizza",4
 202 reviews ,5 stars,2 years ago,2,One of the best places to eat in banaras. Almost every food item is really good and it isnt too expensive (like roma etc). The options are also very huge for one to choose from,,,,,,,,,,,,,,,,
 24 reviews ,4 stars,a year ago,3,"Quite good for the family. Clean and hygienic environment.
Food quality and quality is also good at good prices",,,,,,,,,,,,,,,,
 1 photo,5 stars,4 months ago,,"The environment here is very good.  It is always clean and if you have to ask about the food, the taste of the food is amazing; you will not find anything like it anywhere in the entire Lanka area!😊❤️",5,,,,,5,,,Lunch,,,,,,"Paneer Butter Masala, Pav Bhaji, Cheese Burst Pizza",5
,3 stars,a month ago,,The food was so good and the quantity was also more than enough..but the waiting time was 1hours 40 minutes..behaviour of the staff was so good.,3,"Menu is all vegetarian, Large vegetarian selection",,,₹400–600,5,,,Other,,,,,Highly recommend,"Pav Bhaji, Chilli Garlic Noodles",5
 41 reviews ,4 stars,a year ago,2,"Food is really good and quantity is satisfying. Approximately Rs 200 per person. White sauce pasta, cheese garlic bread,veg hakka noodles and cheese roll are must try items on the menu.",,,,,,,,,,,,,,,,
 3 photos,4 stars,2 weeks ago,,The food is good in quantity and quality both. It is best place for vegetarians at lanka. The only thing which I didn't liked was the place is very crowded and noisy,4,,,,,2,,,,,,,,,,4
 33 reviews ,5 stars,4 months ago,,"This is one of the best restaurant for food at affordable price with very best given quantity with quality at very very best prices worth it
Try one of the best thali i.e.., kesariya thali
One of the best beg restaurant in whole varanasi

Veg Capsicum roll is very famous
Also available at Zomato,swiggy too

Try Chinese foods, south Indian food, veg thalis, and many more",5,,,,,5,,,,,,,,,,5
 46 reviews ,4 stars,8 months ago,2,"Very good restaurant for the family and friends also
There is self service
Decorations are very good for taking pictures.",3,Menu is all vegetarian,,,₹200–400,5,There is everything veg.,,Lunch,,,,,Highly recommend,"Masala Dosa, Paneer Butter Masala, Pav Bhaji, Paneer Paratha Choley, Paratha, Gulab Jamun, Chhole Bhature, Veg Noodles",4
 3 reviews ,5 stars,2 weeks ago,,It's my all time favourite restaurant. If you are vegetarian then this place is for you.,5,,,,,5,,,,,,,,,,5
 197 reviews ,4 stars,2 years ago,,one of the best place for both vegetarian and non-vegetarian not because you will get Non veg here. It is purely veg but the waste here is comparable to non veg. The price is reasonable and 10% discount for BHU students. Dont forget to have the Mixed veg Chowmin here. Its good!!,,,,,,,,,,,,,,,,
 168 reviews ,5 stars,2 years ago,3,"Self-service, You have to wait for your order🙂 at least 40 min if you're in hurry then go and eat on the footpath I would suggest. Rest, Everything is too good food quality, taste and budget-friendly; the family restaurant is on the 2nd floor. There are staff but they will serve you water and tell you that your order is ready😂😂but it's okay that's good🤓😁coz they are friendly🌚.
Online payment accepted!",,,,,,,,,,,,,,,,
 38 reviews ,4 stars,a year ago,7,"The ambiance here is good. A bit crowded, but you won't have to wait long for your dinner. self service system. Foods are delicious. Interior is fine.",,,,,,,,,,,,,,,,
 35 reviews ,4 stars,a year ago,6,"I love the red sauce pasta, choco lava cake and cheesy tacos here.  You must taste these three dishes here.",3,,,,₹1–200,4,,,Lunch,,,,,,"Veg Pasta, Cheesy Tacos",4
 105 reviews ,4 stars,2 years ago,2,Personally I like the place and it offers delicious food cuisine.Family food court and friendly place with self service .Sometimes they offer late food due to over crowding other than that everything is ok,,,,,,,,,,,,,,,,
 40 reviews ,5 stars,a year ago,,"I ordered both types of Chinese Platter....but it's very bad in taste. Chilli paneer was just dipped Raw paneer in normal Subzi Gravy.....same was with Manchurian.... Manchurian was dipped in very poor Subzy gravy. Both gravy were same. Babycorn and noodles were good taste in platter, fried rice was in just very normal quality.",4,,No wheelchair accessbilty,,₹200–400,3,Good option for vegitarian,,Dinner,Somewhat difficult to find parking,,Parking is unavailable,"Parking is very difficult , only option is to park on Road which have maximum sure chances of being cause of roadside parking Challan.",,"Pav Bhaji, Veg Noodles",2
 22 photos,5 stars,a week ago,,It's good experience there cleane place and service at all also ok.,5,,,,,4,,,,,,,,,,4
 13 reviews ,1 star,a month ago,,First time I visited worst experience I ordered Chinese meal but taste was very bad baby corn is smelling and fried rice very 👎 bad never visit again this is my last . Very bad experience 😕 😑,1,,,,,1,,,,,,,,,,1
 14 reviews ,3 stars,a year ago,1,"Service is slow because of the extream rush.. Staff is nice.

I've tried many things, but I liked white sauce pasta and Chinese bhel..

*we like it spicy*",,,,,,,,,,,,,,,,
 23 reviews ,3 stars,a year ago,1,"This restaurant is located on Lanka i.e. BHU Sankat Mochan Marg of Varanasi, at present the services of best quality food, breakfast, fast food etc. are available at medium rates for the young girls of the new generation to sit and eat various types of fast food. !
Due to its proximity to BHU University and BHU Hospital, most of the boys and girls consider this place as the best place to have their favorite food, breakfast at low cost.",,,,,,,,,,,,,,,,
 21 reviews ,4 stars,2 years ago,2,"Awesome place. Taste is so nice. Self service
Menu is good. Worth it👍🏻 …",,,,,,,,,,,,,,,,
,1 star,a month ago,1,"Worst place ever I visited, also I order Friedrich and they gave pulav and yes worst form of pulav I ever had.... and onething why people gave this place hype , I mean why",,,,,,,,,,,,,,,,
 35 reviews ,5 stars,3 weeks ago,,"Food is good, price is above average, fully ac with free drinking water. But, long wait time around 45 min to get food.",3,,,,,4,,,,,,,,,,4
 29 reviews ,4 stars,a year ago,,It is always an amazing experience whenever I visit here....  Service and taste is also soo good... I'll recommend to visit....,4,,,,,4,,,,,,,,,,5
 13 photos,5 stars,4 months ago,1,"Overall best place for good food.
If u want good food then go for there but you have to compromise little bit about space and with crowded environment",4,,,,,4,,,,,,,,,,5
 60 reviews ,5 stars,a year ago,,Tasty and affordable food with Amazing interior and friendly staff,,,,,,,,,,,,,,,,
 38 reviews ,5 stars,3 years ago,2,Amazing place with amazing food... Must Visit if u just love food ... service is also gud.,,,,,,,,,,,,,,,,
 58 reviews ,5 stars,8 months ago,1,"After the order, when we sit down to eat, then when we have to order another roti or anything like that, then I pay for it again and then we get the order, which takes a lot of delay.",1,,,,,2,,,,,,,,,,3
 1 photo,1 star,6 months ago,,"Ordered Aloo Paratha , received sattu paratha 🤣 after 40 minute nd  when we complained we received big smile from manager ...had to take in sattu bcz bhuk lagi thi . 😀
Atmosphere was like machli baazar
Totally horrible experience!!",1,,,,,1,,,,,,,,,,2
 40 reviews ,4 stars,a month ago,,Overall good service and prices are also good .. washroom area is good..you can go with family and friends.,4,,,,₹1–200,4,,,Lunch,,,,,,Hakka Noodles,4
,4 stars,3 months ago,,"My taste buds are still dancing from the amazing cheese rolls at capsicum ! Each bite was a burst of flavor, with the perfect blend of gooey cheese and crispy outer layer",3,,,,,4,,,,,,,,,,4
,1 star,4 months ago,,"Management is worst
It's not value for money
Service is pathetic
Manager attitude is not good very rude
Please don't come at this place
If you will come then you have to wait for 50-60 minutes for your order",1,,,,₹600–800,,,,Lunch,,,,,,Chilli Garlic Noodles,
 109 reviews ,5 stars,11 months ago,1,"Capsicum Food Court in Lanka Varanasi is an excellent place for foodies to enjoy a variety of delicious dishes. This food court is situated in a prime location near Banaras Hindu University, making it an easy-to-reach spot for both locals and tourists.

The ambience of the place is lovely and spacious, with comfortable seating arrangements, and a clean and hygienic environment. The staff is courteous and prompt in their service, which adds to the overall experience. The food is freshly prepared, and the menu offers a great variety of vegetarian and non-vegetarian dishes to cater to all tastes.

Some of the must-try dishes here include their paneer tikka, tandoori chicken, biryani, and thali. The prices are reasonable and offer great value for money.

In terms of hygiene, the food court follows all safety measures, including wearing masks, using sanitizers, and maintaining social distancing. The parking facility is also available nearby, making it convenient for visitors to park their vehicles.

Overall, Capsicum Food Court is a must-visit destination for those who are looking to experience great food in a comfortable and hygienic environment. Highly recommended!",5,,,,₹1–200,5,,,Lunch,Somewhat difficult to find parking,,,,,,4
 41 reviews ,5 stars,a month ago,,"Food was good, service can be little bit more good as it is too time taking",,,,,,,,,,,,,,,,
 18 reviews ,4 stars,2 years ago,1,Among AC restaurant with delicious food. Didn't give five star because of service. They gave very late order to me waited for 2 hours. But other than that all good.Need to improve on delivery time.,,,,,,,,,,,,,,,,
,1 star,2 months ago,1,"Otherwise you have to wait earlier or do bad service, you have to do a lot of work here, the staff behavior is not satisfied.",1,,,,,1,,,,,,,,,,3
 2 photos,1 star,2 years ago,3,I m a traveller. i visited to Varanasi. In the morning i visited this resturant ordered chole bhature and brownie. It was biggest mistake of my life . I wasted my money. Please avoid this place.,,,,,,,,,,,,,,,,
 1 photo,5 stars,a year ago,,"One of the best resturant to have your breakfast , lunch , dinner service were amazing by the staff and good coordination between customer and staff , delicious food made by the chef .....",,,,,,,,,,,,,,,,
 157 reviews ,1 star,3 years ago,4,"Terrible service

Had to wait a good 45 minutes for a plate of chole Bhature. The supervisor too paid no heed to our requests of giving the food faster. The people over there just don’t care about the customers and pay zero attention to them.

Paid ₹110 + taxes for this. Ridiculous indeed.

I would suggest everyone to refrain from going here.",,,,,,,,,,,,,,,,
 10 reviews ,2 stars,6 months ago,,"We had ordered two cheese burst pizzas and  what they put in it is mayonnaise only , it tasted  so bad that we couldn't even finish the pizzas. Our earlier experiences were quite good in capsicum. This time I have decided I'm never going there for having pizza.",3,,,,₹200–400,3,,,Other,,,,,,,1
 52 reviews ,5 stars,a year ago,1,"We ordered creamy noodles & dry chilli paneer..its taste was awsm too yummy
At budget ..",5,,,,₹1–200,4,100%veg,,Dinner,,,,,,"White Sauce, White Sauce Pasta, Veg Noodles",5
,1 star,a week ago,,If you have plenty of time then come here. Minimum time for single order is 40 mins,,,,,,,,,,,,,,,,
 9 reviews ,4 stars,a year ago,,"Food is amazing, price is bit high.

It's a self service restaurant.

Good to visit with family and friends even for couples.",4,,,,₹400–600,3,Lots uf vegetarian option is available,,Lunch,,,,,,Chhole Bhature,4
 131 reviews ,4 stars,a year ago,,"Located beside V2 Mall,  Lanka.
Taste is very good.
Capsicum is a well known restaurant.",,,,,,,,,,,,,,,,
 114 reviews ,5 stars,a month ago,,One of the best restaurants in Lanka. Most items are available in very reasonable price.,5,Menu is all vegetarian,,,₹400–600,5,,,Lunch,,,,,Highly recommend,"Paneer Butter Masala, Cheese Rolls, Paratha",5
 20 reviews ,5 stars,a year ago,1,"The food is very good, the price is also good and the service is also good, so there is sales service, you have to place the order yourself, you have to pay and after that when your order comes, it will show on the board that your order is ready, everything was very good.",,,,,,,,,,,,,,,,
 19 reviews ,5 stars,2 years ago,2,"This place is magical, every sort of food we order is just amazing especially chinese and South Indian  I am just impressed by the presentation, preparation and taste.",,,,,,,,,,,,,,,,
 30 reviews ,5 stars,11 months ago,1,"Best restaurant near BHU gate lanka Varanasi.
Awesome food but only self service is available.",3,,,,₹200–400,4,,,Dinner,Difficult to find parking,,Parking is unavailable,,,"Paneer Butter Masala, White Sauce Pasta, Pav Bhaji, Hakka Noodles, Chilli Garlic Noodles, Mushroom Rolls",5
 20 photos,5 stars,a year ago,,"Best dishes and banarsi platter available, I would recommend to everyone thats will be visit anytime in this resturent for eating delicious dishes",,,,,,,,,,,,,,,,
